year,month,weekday,weekday_str,tpep_pickup_datetime,tpep_dropoff_datetime,trip_duration_sec,trip_distance,PULocationID,DOLocationID,RatecodeID,payment_type,fare_amount,extra,tolls_amount,fixed_taxes,ttl_am_without_tips
2017,1,6,Sun,2017-01-01 00:08:25,2017-01-01 00:17:20,535.0,0.52,237,161,1,2,7.0,0.5,0.0,0.8,8.3
2017,1,6,Sun,2017-01-01 00:26:35,2017-01-01 00:36:12,577.0,0.9,234,164,1,1,7.5,0.5,0.0,0.8,10.55
2017,1,6,Sun,2017-01-01 00:43:10,2017-01-01 00:57:21,851.0,4.9,261,233,1,2,17.0,0.5,0.0,0.8,18.3
2017,1,6,Sun,2017-01-01 00:47:06,2017-01-01 00:51:45,279.0,0.8,238,151,1,1,5.5,0.5,0.0,0.8,8.16
2017,1,6,Sun,2017-01-01 01:21:59,2017-01-01 01:34:12,733.0,2.1,170,158,1,2,10.0,0.5,0.0,0.8,11.3
2017,1,6,Sun,2017-01-01 01:32:44,2017-01-01 01:47:41,897.0,5.4,74,127,1,2,18.0,0.5,0.0,0.8,19.3
2017,1,6,Sun,2017-01-01 01:33:12,2017-01-01 01:44:09,657.0,2.2,263,229,1,1,9.5,0.5,0.0,0.8,12.3
2017,1,6,Sun,2017-01-01 01:36:30,2017-01-01 01:42:17,347.0,0.88,79,107,1,1,5.5,0.5,0.0,0.8,8.16
2017,1,6,Sun,2017-01-01 01:46:05,2017-01-01 01:57:33,688.0,2.12,263,229,1,2,10.0,0.5,0.0,0.8,11.3
2017,1,6,Sun,2017-01-01 01:59:22,2017-01-01 02:12:59,817.0,5.57,239,244,1,2,17.5,0.5,0.0,0.8,18.8
2017,1,6,Sun,2017-01-01 02:15:23,2017-01-01 02:22:51,448.0,0.75,164,233,1,1,6.5,0.5,0.0,0.8,9.36
2017,1,6,Sun,2017-01-01 02:52:27,2017-01-01 03:04:28,721.0,2.2,144,170,1,1,10.5,0.5,0.0,0.8,14.15
2017,1,6,Sun,2017-01-01 03:14:27,2017-01-01 03:28:36,849.0,2.57,79,48,1,2,12.0,0.5,0.0,0.8,13.3
2017,1,6,Sun,2017-01-01 03:17:27,2017-01-01 03:28:10,643.0,1.78,256,37,1,1,9.5,0.5,0.0,0.8,14.04
2017,1,6,Sun,2017-01-01 04:15:23,2017-01-01 04:23:10,467.0,2.2,42,119,1,2,9.0,0.5,0.0,0.8,10.3
2017,1,6,Sun,2017-01-01 04:25:10,2017-01-01 04:54:08,1738.0,10.5,170,138,1,1,33.0,0.5,0.0,0.8,48.0
2017,1,6,Sun,2017-01-01 04:36:07,2017-01-01 04:52:37,990.0,3.76,249,87,1,1,15.0,0.5,0.0,0.8,19.56
2017,1,6,Sun,2017-01-01 05:12:01,2017-01-01 05:26:19,858.0,4.12,107,145,1,1,14.5,0.5,0.0,0.8,18.96
2017,1,6,Sun,2017-01-01 05:22:28,2017-01-01 05:29:24,416.0,1.91,234,48,1,1,8.0,0.5,0.0,0.8,9.3
2017,1,6,Sun,2017-01-01 08:55:38,2017-01-01 09:02:04,386.0,2.28,234,237,1,2,8.5,0.0,0.0,0.8,9.3
2017,1,6,Sun,2017-01-01 09:33:20,2017-01-01 09:43:57,637.0,4.68,186,209,1,2,15.0,0.0,0.0,0.8,15.8
2017,1,6,Sun,2017-01-01 09:56:31,2017-01-01 10:02:10,339.0,1.36,230,164,1,2,6.5,0.0,0.0,0.8,7.3
2017,1,6,Sun,2017-01-01 10:36:57,2017-01-01 10:50:25,808.0,5.07,146,211,1,1,16.5,0.0,0.0,0.8,22.49
2017,1,6,Sun,2017-01-01 10:37:06,2017-01-01 10:42:59,353.0,1.1,113,164,1,1,6.5,0.0,0.0,0.8,7.3
2017,1,6,Sun,2017-01-01 10:37:29,2017-01-01 11:01:34,1445.0,7.74,249,7,1,2,24.5,0.0,0.0,0.8,25.3
2017,1,6,Sun,2017-01-01 10:41:45,2017-01-01 10:53:57,732.0,4.58,262,186,1,1,15.5,0.0,0.0,0.8,20.38
2017,1,6,Sun,2017-01-01 12:52:09,2017-01-01 13:04:04,715.0,1.48,48,246,1,2,8.5,0.0,0.0,0.8,9.3
2017,1,6,Sun,2017-01-01 12:58:55,2017-01-01 13:01:56,181.0,0.8,137,162,1,1,4.5,0.0,0.0,0.8,6.35
2017,1,6,Sun,2017-01-01 13:28:55,2017-01-01 13:52:10,1395.0,5.0,41,170,1,1,20.0,0.0,0.0,0.8,24.95
2017,1,6,Sun,2017-01-01 14:12:12,2017-01-01 14:16:10,238.0,1.49,229,141,1,1,6.0,0.0,0.0,0.8,7.48
2017,1,6,Sun,2017-01-01 14:29:30,2017-01-01 14:34:38,308.0,0.8,142,161,1,1,5.0,0.0,0.0,0.8,6.95
